Provinsi,NamaKab/Kota,KodeKab/Kota,Status bekerja,Jumlah IndividuUsia 5 - 14 tahun,Jumlah IndividuUsia 15 - 59 tahun,Jumlah IndividuUsia 60 tahun ke atas
ACEH,SIMEULUE,1101,Bekerja,145,"15,837","1,406"
ACEH,SIMEULUE,1101,Tidak Bekerja,"11,407","11,301","1,681"
ACEH,ACEH SINGKIL,1102,Bekerja,97,"14,981","1,145"
ACEH,ACEH SINGKIL,1102,Tidak Bekerja,"14,912","18,135","1,620"
ACEH,ACEH SELATAN,1103,Bekerja,96,"32,190","3,553"
ACEH,ACEH SELATAN,1103,Tidak Bekerja,"23,968","40,326","6,638"
ACEH,ACEH TENGGARA,1104,Bekerja,702,"29,532",979
ACEH,ACEH TENGGARA,1104,Tidak Bekerja,"20,111","17,988",652
ACEH,ACEH TIMUR,1105,Bekerja,466,"60,174","5,196"
ACEH,ACEH TIMUR,1105,Tidak Bekerja,"49,435","66,913","6,576"
ACEH,ACEH TENGAH,1106,Bekerja,705,"33,662","2,856"
ACEH,ACEH TENGAH,1106,Tidak Bekerja,"15,109","12,016","1,603"
ACEH,ACEH BARAT,1107,Bekerja,171,"28,909","2,768"
ACEH,ACEH BARAT,1107,Tidak Bekerja,"14,410","20,202","3,465"
ACEH,ACEH BESAR,1108,Bekerja,176,"46,102","4,985"
ACEH,ACEH BESAR,1108,Tidak Bekerja,"35,168","47,109","8,695"
ACEH,PIDIE,1109,Bekerja,298,"66,717","8,210"
ACEH,PIDIE,1109,Tidak Bekerja,"50,291","62,336","8,579"
ACEH,BIREUEN,1110,Bekerja,330,"70,866","7,415"
ACEH,BIREUEN,1110,Tidak Bekerja,"46,940","72,086","9,850"
ACEH,ACEH UTARA,1111,Bekerja,"1,227","94,573","10,222"
ACEH,ACEH UTARA,1111,Tidak Bekerja,"74,206","107,827","13,393"
ACEH,ACEH BARAT DAYA,1112,Bekerja,49,"21,632","1,816"
ACEH,ACEH BARAT DAYA,1112,Tidak Bekerja,"15,779","29,764","2,991"
ACEH,GAYO LUES,1113,Bekerja,911,"16,082",729
ACEH,GAYO LUES,1113,Tidak Bekerja,"7,433","5,664",443
ACEH,ACEH TAMIANG,1114,Bekerja,66,"31,553","3,086"
ACEH,ACEH TAMIANG,1114,Tidak Bekerja,"25,208","36,242","5,165"
ACEH,NAGAN RAYA,1115,Bekerja,130,"24,367","2,929"
ACEH,NAGAN RAYA,1115,Tidak Bekerja,"13,496","19,258","3,845"
ACEH,ACEH JAYA,1116,Bekerja,50,"11,577","1,297"
ACEH,ACEH JAYA,1116,Tidak Bekerja,"6,820","7,728","1,062"
ACEH,BENER MERIAH,1117,Bekerja,232,"17,563","1,089"
ACEH,BENER MERIAH,1117,Tidak Bekerja,"10,184","6,161",486
ACEH,PIDIE JAYA,1118,Bekerja,74,"25,643","3,548"
ACEH,PIDIE JAYA,1118,Tidak Bekerja,"17,823","23,058","4,062"
ACEH,KOTA BANDA ACEH,1171,Bekerja,22,"10,330",610
ACEH,KOTA BANDA ACEH,1171,Tidak Bekerja,"8,410","11,219","1,035"
ACEH,KOTA SABANG,1172,Bekerja,16,"2,697",240
ACEH,KOTA SABANG,1172,Tidak Bekerja,"2,132","2,619",471
ACEH,KOTA LANGSA,1173,Bekerja,27,"12,489",662
ACEH,KOTA LANGSA,1173,Tidak Bekerja,"11,596","17,864",915
ACEH,KOTA LHOKSEUMAWE,1174,Bekerja,18,"14,353","1,057"
ACEH,KOTA LHOKSEUMAWE,1174,Tidak Bekerja,"13,856","23,249","1,646"
ACEH,KOTA SUBULUSSALAM,1175,Bekerja,19,"7,185",402
ACEH,KOTA SUBULUSSALAM,1175,Tidak Bekerja,"10,476","12,487",832
SUMATERA UTARA,NIAS,1201,Bekerja,"3,843","47,385","3,471"
SUMATERA UTARA,NIAS,1201,Tidak Bekerja,"27,994","11,468","2,074"
SUMATERA UTARA,MANDAILING NATAL,1202,Bekerja,406,"44,207","4,131"
SUMATERA UTARA,MANDAILING NATAL,1202,Tidak Bekerja,"43,236","29,052","4,139"
SUMATERA UTARA,TAPANULI SELATAN,1203,Bekerja,"1,209","31,203","3,344"
SUMATERA UTARA,TAPANULI SELATAN,1203,Tidak Bekerja,"21,749","10,552","2,759"
SUMATERA UTARA,TAPANULI TENGAH,1204,Bekerja,"2,553","47,647","4,721"
SUMATERA UTARA,TAPANULI TENGAH,1204,Tidak Bekerja,"38,429","22,605","3,979"
SUMATERA UTARA,TAPANULI UTARA,1205,Bekerja,"8,044","49,670","5,685"
SUMATERA UTARA,TAPANULI UTARA,1205,Tidak Bekerja,"26,364","7,879","3,707"
SUMATERA UTARA,TOBA SAMOSIR,1206,Bekerja,"3,015","18,111",984
SUMATERA UTARA,TOBA SAMOSIR,1206,Tidak Bekerja,"12,041","2,533",549
SUMATERA UTARA,LABUHAN BATU,1207,Bekerja,69,"24,790","2,419"
SUMATERA UTARA,LABUHAN BATU,1207,Tidak Bekerja,"26,179","33,013","4,092"
SUMATERA UTARA,ASAHAN,1208,Bekerja,271,"39,866","3,538"
SUMATERA UTARA,ASAHAN,1208,Tidak Bekerja,"40,114","41,330","6,493"
SUMATERA UTARA,SIMALUNGUN,1209,Bekerja,"3,316","57,420","7,203"
SUMATERA UTARA,SIMALUNGUN,1209,Tidak Bekerja,"42,227","33,344","9,165"
SUMATERA UTARA,DAIRI,1210,Bekerja,"6,334","35,850","3,007"
SUMATERA UTARA,DAIRI,1210,Tidak Bekerja,"21,332","4,645","1,041"
SUMATERA UTARA,KARO,1211,Bekerja,"2,023","47,256","2,536"
SUMATERA UTARA,KARO,1211,Tidak Bekerja,"27,351","12,797","1,367"
SUMATERA UTARA,DELI SERDANG,1212,Bekerja,631,"105,780","13,098"
SUMATERA UTARA,DELI SERDANG,1212,Tidak Bekerja,"83,493","138,109","29,502"
SUMATERA UTARA,LANGKAT,1213,Bekerja,485,"104,597","9,375"
SUMATERA UTARA,LANGKAT,1213,Tidak Bekerja,"89,513","121,443","18,225"
SUMATERA UTARA,NIAS SELATAN,1214,Bekerja,"9,544","97,310","5,231"
SUMATERA UTARA,NIAS SELATAN,1214,Tidak Bekerja,"50,070","24,658","1,850"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Bekerja,"7,643","24,644","3,388"
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,Tidak Bekerja,"12,472","1,583","1,310"
SUMATERA UTARA,PAKPAK BHARAT,1216,Bekerja,563,"5,139",245
SUMATERA UTARA,PAKPAK BHARAT,1216,Tidak Bekerja,"4,067",947,82
SUMATERA UTARA,SAMOSIR,1217,Bekerja,"5,847","15,271",837
SUMATERA UTARA,SAMOSIR,1217,Tidak Bekerja,"8,069","1,314",473
SUMATERA UTARA,SERDANG BEDAGAI,1218,Bekerja,192,"42,633","4,270"
SUMATERA UTARA,SERDANG BEDAGAI,1218,Tidak Bekerja,"39,080","44,842","7,390"
SUMATERA UTARA,BATU BARA,1219,Bekerja,200,"45,482","4,768"
SUMATERA UTARA,BATU BARA,1219,Tidak Bekerja,"43,162","57,687","9,124"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Bekerja,619,"21,304",641
SUMATERA UTARA,PADANG LAWAS UTARA,1220,Tidak Bekerja,"18,496","7,844",539
SUMATERA UTARA,PADANG LAWAS,1221,Bekerja,"1,989","30,078","1,407"
SUMATERA UTARA,PADANG LAWAS,1221,Tidak Bekerja,"23,936","14,351","1,198"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Bekerja,55,"13,254",669
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Tidak Bekerja,"12,052","11,161",772
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Bekerja,282,"21,751","2,148"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Tidak Bekerja,"23,698","25,302","3,505"
SUMATERA UTARA,NIAS UTARA,1224,Bekerja,"1,390","42,228","3,311"
SUMATERA UTARA,NIAS UTARA,1224,Tidak Bekerja,"30,142","18,206","2,595"
SUMATERA UTARA,NIAS BARAT,1225,Bekerja,"1,890","29,997","2,037"
SUMATERA UTARA,NIAS BARAT,1225,Tidak Bekerja,"17,036","8,767","1,618"
SUMATERA UTARA,KOTA SIBOLGA,1271,Bekerja,53,"7,623",441
SUMATERA UTARA,KOTA SIBOLGA,1271,Tidak Bekerja,"7,303","6,930",849
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Bekerja,97,"19,090","1,492"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Tidak Bekerja,"16,848","22,231","2,295"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Bekerja,63,"23,361","2,548"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Tidak Bekerja,"16,218","20,721","3,525"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Bekerja,61,"13,170","1,334"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Tidak Bekerja,"10,331","13,306","2,206"
SUMATERA UTARA,KOTA MEDAN,1275,Bekerja,293,"140,308","11,516"
SUMATERA UTARA,KOTA MEDAN,1275,Tidak Bekerja,"107,629","151,895","21,293"
SUMATERA UTARA,KOTA BINJAI,1276,Bekerja,38,"19,690","1,871"
SUMATERA UTARA,KOTA BINJAI,1276,Tidak Bekerja,"13,207","19,289","3,382"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Bekerja,179,"15,896","1,361"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Tidak Bekerja,"11,956","10,940","1,506"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Bekerja,375,"24,151","1,918"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Tidak Bekerja,"18,950","13,140","2,448"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Bekerja,309,"16,254",570
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Tidak Bekerja,"12,542","6,075",208
SUMATERA BARAT,PESISIR SELATAN,1302,Bekerja,263,"45,367","4,841"
SUMATERA BARAT,PESISIR SELATAN,1302,Tidak Bekerja,"43,362","62,465","7,970"
SUMATERA BARAT,SOLOK,1303,Bekerja,553,"48,358","4,511"
SUMATERA BARAT,SOLOK,1303,Tidak Bekerja,"33,732","32,335","4,188"
SUMATERA BARAT,SIJUNJUNG,1304,Bekerja,83,"14,719","1,625"
SUMATERA BARAT,SIJUNJUNG,1304,Tidak Bekerja,"13,500","13,196","2,518"
SUMATERA BARAT,TANAH DATAR,1305,Bekerja,277,"27,325","3,388"
SUMATERA BARAT,TANAH DATAR,1305,Tidak Bekerja,"21,880","19,983","4,827"
SUMATERA BARAT,PADANG PARIAMAN,1306,Bekerja,331,"28,725","5,067"
SUMATERA BARAT,PADANG PARIAMAN,1306,Tidak Bekerja,"33,067","39,708","9,584"
SUMATERA BARAT,AGAM,1307,Bekerja,135,"28,068","4,396"
SUMATERA BARAT,AGAM,1307,Tidak Bekerja,"25,020","21,903","5,693"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Bekerja,257,"42,172","6,687"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Tidak Bekerja,"28,592","26,180","8,263"
SUMATERA BARAT,PASAMAN,1309,Bekerja,250,"39,919","3,803"
SUMATERA BARAT,PASAMAN,1309,Tidak Bekerja,"30,047","24,611","3,217"
SUMATERA BARAT,SOLOK SELATAN,1310,Bekerja,71,"14,249","1,272"
SUMATERA BARAT,SOLOK SELATAN,1310,Tidak Bekerja,"11,394","12,454","1,389"
