Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,Usia di bawah 15 tahun,Usia 15 - 44 tahun,Usia 45 - 59 tahun,Usia 60 tahun ke atas
ACEH,SIMEULUE,1101,P,20,242,391,435
ACEH,SIMEULUE,1101,L,12,288,551,530
ACEH,ACEH SINGKIL,1102,P,23,252,344,296
ACEH,ACEH SINGKIL,1102,L,23,298,474,386
ACEH,ACEH SELATAN,1103,P,51,344,598,779
ACEH,ACEH SELATAN,1103,L,53,541,828,"1,153"
ACEH,ACEH TENGGARA,1104,P,32,301,354,153
ACEH,ACEH TENGGARA,1104,L,48,331,412,158
ACEH,ACEH TIMUR,1105,P,222,"1,367","1,740","1,567"
ACEH,ACEH TIMUR,1105,L,201,"2,042","2,660","2,455"
ACEH,ACEH TENGAH,1106,P,56,347,390,479
ACEH,ACEH TENGAH,1106,L,52,418,518,673
ACEH,ACEH BARAT,1107,P,40,323,516,632
ACEH,ACEH BARAT,1107,L,38,485,743,729
ACEH,ACEH BESAR,1108,P,104,630,"1,035","1,501"
ACEH,ACEH BESAR,1108,L,86,945,"1,497","2,503"
ACEH,PIDIE,1109,P,192,849,"1,336","1,988"
ACEH,PIDIE,1109,L,179,"1,496","1,992","3,013"
ACEH,BIREUEN,1110,P,154,"1,096","1,832","2,039"
ACEH,BIREUEN,1110,L,149,"1,560","2,683","3,295"
ACEH,ACEH UTARA,1111,P,262,"1,415","1,967","2,593"
ACEH,ACEH UTARA,1111,L,281,"2,383","3,406","4,187"
ACEH,ACEH BARAT DAYA,1112,P,43,352,623,589
ACEH,ACEH BARAT DAYA,1112,L,43,488,823,720
ACEH,GAYO LUES,1113,P,56,223,233,138
ACEH,GAYO LUES,1113,L,35,283,274,148
ACEH,ACEH TAMIANG,1114,P,68,481,823,"1,023"
ACEH,ACEH TAMIANG,1114,L,70,638,"1,381","1,573"
ACEH,NAGAN RAYA,1115,P,35,265,380,639
ACEH,NAGAN RAYA,1115,L,35,353,550,881
ACEH,ACEH JAYA,1116,P,20,235,406,444
ACEH,ACEH JAYA,1116,L,26,406,553,497
ACEH,BENER MERIAH,1117,P,30,222,251,223
ACEH,BENER MERIAH,1117,L,39,309,273,251
ACEH,PIDIE JAYA,1118,P,52,242,428,659
ACEH,PIDIE JAYA,1118,L,44,362,630,"1,102"
ACEH,KOTA BANDA ACEH,1171,P,19,158,293,236
ACEH,KOTA BANDA ACEH,1171,L,29,228,342,314
ACEH,KOTA SABANG,1172,P,9,31,69,112
ACEH,KOTA SABANG,1172,L,7,71,128,149
ACEH,KOTA LANGSA,1173,P,43,264,533,318
ACEH,KOTA LANGSA,1173,L,40,481,742,305
ACEH,KOTA LHOKSEUMAWE,1174,P,52,228,456,382
ACEH,KOTA LHOKSEUMAWE,1174,L,32,393,654,428
ACEH,KOTA SUBULUSSALAM,1175,P,31,146,170,186
ACEH,KOTA SUBULUSSALAM,1175,L,22,174,242,206
SUMATERA UTARA,NIAS,1201,P,70,718,555,557
SUMATERA UTARA,NIAS,1201,L,46,849,697,643
SUMATERA UTARA,MANDAILING NATAL,1202,P,62,447,642,810
SUMATERA UTARA,MANDAILING NATAL,1202,L,51,474,666,"1,146"
SUMATERA UTARA,TAPANULI SELATAN,1203,P,43,275,477,576
SUMATERA UTARA,TAPANULI SELATAN,1203,L,34,258,651,"1,138"
SUMATERA UTARA,TAPANULI TENGAH,1204,P,97,595,987,"1,016"
SUMATERA UTARA,TAPANULI TENGAH,1204,L,82,645,"1,313","1,774"
SUMATERA UTARA,TAPANULI UTARA,1205,P,60,358,701,807
SUMATERA UTARA,TAPANULI UTARA,1205,L,42,263,627,"1,182"
SUMATERA UTARA,TOBA SAMOSIR,1206,P,28,109,139,132
SUMATERA UTARA,TOBA SAMOSIR,1206,L,25,77,120,145
SUMATERA UTARA,LABUHAN BATU,1207,P,22,166,247,488
SUMATERA UTARA,LABUHAN BATU,1207,L,29,208,443,792
SUMATERA UTARA,ASAHAN,1208,P,59,478,853,"1,165"
SUMATERA UTARA,ASAHAN,1208,L,74,709,"1,239","1,541"
SUMATERA UTARA,SIMALUNGUN,1209,P,95,570,832,"1,437"
SUMATERA UTARA,SIMALUNGUN,1209,L,80,516,"1,116","2,030"
SUMATERA UTARA,DAIRI,1210,P,27,130,185,236
SUMATERA UTARA,DAIRI,1210,L,23,110,145,321
SUMATERA UTARA,KARO,1211,P,63,379,496,475
SUMATERA UTARA,KARO,1211,L,65,384,490,418
SUMATERA UTARA,DELI SERDANG,1212,P,188,"4,964","6,352","6,374"
SUMATERA UTARA,DELI SERDANG,1212,L,165,"4,633","7,822","8,883"
SUMATERA UTARA,LANGKAT,1213,P,194,"1,202","2,257","3,193"
SUMATERA UTARA,LANGKAT,1213,L,160,"1,707","3,147","3,962"
SUMATERA UTARA,NIAS SELATAN,1214,P,238,"1,940","1,523","1,045"
SUMATERA UTARA,NIAS SELATAN,1214,L,194,"2,219","1,642",894
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,P,24,163,197,375
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,L,18,112,192,649
SUMATERA UTARA,PAKPAK BHARAT,1216,P,8,53,44,47
SUMATERA UTARA,PAKPAK BHARAT,1216,L,5,29,44,42
SUMATERA UTARA,SAMOSIR,1217,P,28,129,154,140
SUMATERA UTARA,SAMOSIR,1217,L,15,104,115,157
SUMATERA UTARA,SERDANG BEDAGAI,1218,P,121,673,"1,204","1,401"
SUMATERA UTARA,SERDANG BEDAGAI,1218,L,99,904,"1,830","2,088"
SUMATERA UTARA,BATU BARA,1219,P,112,678,"1,130","1,522"
SUMATERA UTARA,BATU BARA,1219,L,85,853,"1,678","2,296"
SUMATERA UTARA,PADANG LAWAS UTARA,1220,P,49,173,174,101
SUMATERA UTARA,PADANG LAWAS UTARA,1220,L,27,182,160,88
SUMATERA UTARA,PADANG LAWAS,1221,P,70,626,573,391
SUMATERA UTARA,PADANG LAWAS,1221,L,63,684,651,453
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,P,21,145,163,128
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,L,19,166,241,176
SUMATERA UTARA,LABUHAN BATU UTARA,1223,P,39,263,442,623
SUMATERA UTARA,LABUHAN BATU UTARA,1223,L,29,309,517,965
SUMATERA UTARA,NIAS UTARA,1224,P,119,"1,128",889,850
SUMATERA UTARA,NIAS UTARA,1224,L,85,"1,334","1,093","1,037"
SUMATERA UTARA,NIAS BARAT,1225,P,57,591,581,448
SUMATERA UTARA,NIAS BARAT,1225,L,50,631,684,508
SUMATERA UTARA,KOTA SIBOLGA,1271,P,10,137,179,143
SUMATERA UTARA,KOTA SIBOLGA,1271,L,15,136,240,243
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,P,53,305,566,505
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,L,45,357,740,746
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,P,39,179,347,431
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,L,39,171,467,690
SUMATERA UTARA,KOTA TEBING TINGGI,1274,P,29,154,290,337
SUMATERA UTARA,KOTA TEBING TINGGI,1274,L,19,198,435,490
SUMATERA UTARA,KOTA MEDAN,1275,P,253,"1,461","2,671","3,070"
SUMATERA UTARA,KOTA MEDAN,1275,L,203,"1,733","3,932","4,447"
SUMATERA UTARA,KOTA BINJAI,1276,P,39,243,455,520
SUMATERA UTARA,KOTA BINJAI,1276,L,30,285,657,735
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,P,45,168,262,281
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,L,45,143,299,433
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,P,58,756,753,711
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,L,49,863,"1,017","1,068"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,P,34,188,160,61
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,L,37,168,91,39
SUMATERA BARAT,PESISIR SELATAN,1302,P,157,635,"1,113","1,258"
SUMATERA BARAT,PESISIR SELATAN,1302,L,124,999,"1,564","1,559"
SUMATERA BARAT,SOLOK,1303,P,128,594,788,989
SUMATERA BARAT,SOLOK,1303,L,96,858,"1,157","1,210"
SUMATERA BARAT,SIJUNJUNG,1304,P,60,182,300,423
SUMATERA BARAT,SIJUNJUNG,1304,L,46,239,456,588
SUMATERA BARAT,TANAH DATAR,1305,P,105,264,476,756
SUMATERA BARAT,TANAH DATAR,1305,L,86,412,649,992
SUMATERA BARAT,PADANG PARIAMAN,1306,P,78,306,555,981
SUMATERA BARAT,PADANG PARIAMAN,1306,L,80,513,822,"1,607"
SUMATERA BARAT,AGAM,1307,P,127,375,618,"1,126"
SUMATERA BARAT,AGAM,1307,L,99,507,784,"1,482"
SUMATERA BARAT,LIMA PULUH KOTA,1308,P,161,494,819,"1,561"
SUMATERA BARAT,LIMA PULUH KOTA,1308,L,141,721,"1,238","2,229"
SUMATERA BARAT,PASAMAN,1309,P,63,343,597,731
SUMATERA BARAT,PASAMAN,1309,L,74,406,834,934
SUMATERA BARAT,SOLOK SELATAN,1310,P,56,247,401,399
SUMATERA BARAT,SOLOK SELATAN,1310,L,49,391,476,403
SUMATERA BARAT,DHARMASRAYA,1311,P,20,84,127,205
SUMATERA BARAT,DHARMASRAYA,1311,L,14,121,158,268
SUMATERA BARAT,PASAMAN BARAT,1312,P,121,616,"1,112","1,136"
SUMATERA BARAT,PASAMAN BARAT,1312,L,90,947,"1,629","2,010"
SUMATERA BARAT,KOTA PADANG,1371,P,180,829,"1,464","1,523"
SUMATERA BARAT,KOTA PADANG,1371,L,145,"1,240","2,095","2,285"
SUMATERA BARAT,KOTA SOLOK,1372,P,8,38,44,57
SUMATERA BARAT,KOTA SOLOK,1372,L,11,42,70,77
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,P,15,38,47,88
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,L,16,53,101,140
SUMATERA BARAT,KOTA PADANG PANJANG,1374,P,44,82,100,134
SUMATERA BARAT,KOTA PADANG PANJANG,1374,L,31,146,157,199
SUMATERA BARAT,KOTA BUKITTINGGI,1375,P,34,86,132,147
SUMATERA BARAT,KOTA BUKITTINGGI,1375,L,23,134,178,214
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,P,79,157,226,343
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,L,69,244,317,431
SUMATERA BARAT,KOTA PARIAMAN,1377,P,39,116,240,262
SUMATERA BARAT,KOTA PARIAMAN,1377,L,22,186,282,480
RIAU,KUANTAN SINGINGI,1401,P,52,293,400,759
RIAU,KUANTAN SINGINGI,1401,L,42,412,691,"1,104"
RIAU,INDRAGIRI HULU,1402,P,110,655,887,"1,074"
RIAU,INDRAGIRI HULU,1402,L,112,909,"1,249","1,293"
RIAU,INDRAGIRI HILIR,1403,P,88,620,928,983
RIAU,INDRAGIRI HILIR,1403,L,77,783,"1,058",920
RIAU,PELALAWAN,1404,P,55,343,399,404
RIAU,PELALAWAN,1404,L,46,455,555,457
RIAU,S I A K,1405,P,52,262,410,475
RIAU,S I A K,1405,L,41,310,567,621
RIAU,KAMPAR,1406,P,150,838,"1,292","1,180"
RIAU,KAMPAR,1406,L,138,"1,239","1,750","1,558"
RIAU,ROKAN HULU,1407,P,82,454,661,888
RIAU,ROKAN HULU,1407,L,53,556,"1,010","1,165"
RIAU,BENGKALIS,1408,P,50,343,593,"1,010"
RIAU,BENGKALIS,1408,L,55,461,902,"1,186"
RIAU,ROKAN HILIR,1409,P,118,779,"1,245","1,254"
RIAU,ROKAN HILIR,1409,L,72,982,"1,643","1,622"
RIAU,KEPULAUAN MERANTI,1410,P,43,288,571,739
RIAU,KEPULAUAN MERANTI,1410,L,46,401,774,807
RIAU,KOTA PEKANBARU,1471,P,134,501,684,760
RIAU,KOTA PEKANBARU,1471,L,104,749,"1,029",978
RIAU,KOTA DUMAI,1473,P,51,226,444,615
RIAU,KOTA DUMAI,1473,L,35,366,713,749
JAMBI,KERINCI,1501,P,66,537,906,"1,551"
JAMBI,KERINCI,1501,L,67,730,"1,384","2,401"
JAMBI,MERANGIN,1502,P,49,247,397,595
JAMBI,MERANGIN,1502,L,42,383,578,717
JAMBI,SAROLANGUN,1503,P,51,336,525,603
JAMBI,SAROLANGUN,1503,L,31,462,679,812
JAMBI,BATANG HARI,1504,P,77,530,690,807
JAMBI,BATANG HARI,1504,L,68,694,"1,103","1,046"
JAMBI,MUARO JAMBI,1505,P,33,258,399,412
JAMBI,MUARO JAMBI,1505,L,31,365,576,444
JAMBI,TANJUNG JABUNG TIMUR,1506,P,47,288,443,800
JAMBI,TANJUNG JABUNG TIMUR,1506,L,26,432,632,850
JAMBI,TANJUNG JABUNG BARAT,1507,P,63,384,579,668
JAMBI,TANJUNG JABUNG BARAT,1507,L,47,512,721,748
JAMBI,TEBO,1508,P,43,294,469,748
JAMBI,TEBO,1508,L,46,449,772,"1,071"
JAMBI,BUNGO,1509,P,35,246,400,623
JAMBI,BUNGO,1509,L,34,349,619,957
JAMBI,KOTA JAMBI,1571,P,94,533,"1,075","1,177"
JAMBI,KOTA JAMBI,1571,L,66,844,"1,626","1,413"
JAMBI,KOTA SUNGAI PENUH,1572,P,17,65,120,264
JAMBI,KOTA SUNGAI PENUH,1572,L,13,101,164,359
SUMATERA SELATAN,OGAN KOMERING ULU,1601,P,60,268,461,643
SUMATERA SELATAN,OGAN KOMERING ULU,1601,L,44,340,582,739
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,P,121,738,"1,029","1,551"
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,L,111,892,"1,353","1,776"
SUMATERA SELATAN,MUARA ENIM,1603,P,135,508,661,"1,073"
SUMATERA SELATAN,MUARA ENIM,1603,L,94,565,924,"1,357"
SUMATERA SELATAN,LAHAT,1604,P,115,525,775,"1,179"
SUMATERA SELATAN,LAHAT,1604,L,101,720,"1,043","1,514"
SUMATERA SELATAN,MUSI RAWAS,1605,P,66,466,609,"1,102"
SUMATERA SELATAN,MUSI RAWAS,1605,L,54,550,853,"1,247"
SUMATERA SELATAN,MUSI BANYUASIN,1606,P,67,502,952,"1,443"
SUMATERA SELATAN,MUSI BANYUASIN,1606,L,71,689,"1,277","1,772"
SUMATERA SELATAN,BANYU ASIN,1607,P,164,"1,205","1,651","2,244"
SUMATERA SELATAN,BANYU ASIN,1607,L,136,"1,567","2,269","2,580"
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,P,53,502,743,830
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,L,45,519,810,867
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,P,66,269,331,563
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,L,53,362,447,658
SUMATERA SELATAN,OGAN ILIR,1610,P,96,492,790,"1,234"
SUMATERA SELATAN,OGAN ILIR,1610,L,85,619,"1,088","1,723"
SUMATERA SELATAN,EMPAT LAWANG,1611,P,53,330,625,872
SUMATERA SELATAN,EMPAT LAWANG,1611,L,41,496,970,"1,368"
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,P,40,160,243,325
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,L,37,203,332,433
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,P,21,264,460,608
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,L,16,377,679,788
SUMATERA SELATAN,KOTA PALEMBANG,1671,P,238,"1,065","2,017","2,534"
SUMATERA SELATAN,KOTA PALEMBANG,1671,L,177,"1,604","3,119","3,260"
SUMATERA SELATAN,KOTA PRABUMULIH,1672,P,21,92,160,254
SUMATERA SELATAN,KOTA PRABUMULIH,1672,L,13,169,285,444
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,P,21,82,134,281
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,L,22,98,178,376
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,P,33,163,227,327
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,L,28,244,402,417
BENGKULU,BENGKULU SELATAN,1701,P,20,157,286,578
BENGKULU,BENGKULU SELATAN,1701,L,12,205,437,730
BENGKULU,REJANG LEBONG,1702,P,52,514,660,"1,008"
BENGKULU,REJANG LEBONG,1702,L,43,642,970,"1,426"
BENGKULU,BENGKULU UTARA,1703,P,46,288,470,726
BENGKULU,BENGKULU UTARA,1703,L,40,467,611,833
BENGKULU,KAUR,1704,P,31,222,442,553
BENGKULU,KAUR,1704,L,19,304,539,615
BENGKULU,SELUMA,1705,P,46,268,390,654
BENGKULU,SELUMA,1705,L,35,403,559,861
BENGKULU,MUKOMUKO,1706,P,55,332,458,603
BENGKULU,MUKOMUKO,1706,L,45,559,645,739
BENGKULU,LEBONG,1707,P,26,157,276,392
BENGKULU,LEBONG,1707,L,29,234,397,604
BENGKULU,KEPAHIANG,1708,P,37,251,350,489
BENGKULU,KEPAHIANG,1708,L,37,427,572,731
BENGKULU,BENGKULU TENGAH,1709,P,16,133,244,381
BENGKULU,BENGKULU TENGAH,1709,L,14,189,324,597
BENGKULU,KOTA BENGKULU,1771,P,84,434,726,685
BENGKULU,KOTA BENGKULU,1771,L,69,686,991,850
LAMPUNG,LAMPUNG BARAT,1801,P,36,210,388,609
LAMPUNG,LAMPUNG BARAT,1801,L,38,276,511,563
LAMPUNG,TANGGAMUS,1802,P,91,486,826,"1,405"
LAMPUNG,TANGGAMUS,1802,L,76,565,"1,038","1,430"
LAMPUNG,LAMPUNG SELATAN,1803,P,253,"1,127","1,927","3,533"
LAMPUNG,LAMPUNG SELATAN,1803,L,192,"1,496","2,621","3,774"
LAMPUNG,LAMPUNG TIMUR,1804,P,159,723,"1,262","2,949"
LAMPUNG,LAMPUNG TIMUR,1804,L,129,"1,083","1,960","3,422"
LAMPUNG,LAMPUNG TENGAH,1805,P,208,"1,286","1,757","3,593"
LAMPUNG,LAMPUNG TENGAH,1805,L,165,"1,761","2,513","4,271"
LAMPUNG,LAMPUNG UTARA,1806,P,115,682,"1,156","1,844"
LAMPUNG,LAMPUNG UTARA,1806,L,85,928,"1,635","1,967"
LAMPUNG,WAY KANAN,1807,P,63,491,707,"1,382"
LAMPUNG,WAY KANAN,1807,L,60,594,962,"1,266"
LAMPUNG,TULANGBAWANG,1808,P,84,601,886,"1,280"
LAMPUNG,TULANGBAWANG,1808,L,61,732,"1,120","1,173"
LAMPUNG,PESAWARAN,1809,P,82,368,745,"1,309"
LAMPUNG,PESAWARAN,1809,L,60,518,968,"1,379"
LAMPUNG,PRINGSEWU,1810,P,83,272,463,827
LAMPUNG,PRINGSEWU,1810,L,66,408,656,952
